utc,Program:Winder_Ratio_Detector.__lff6644cb00000f83,Program:Winder_Ratio_Detector.__lff6644cb208b6462,Program:Winder_Ratio_Detector.__lff6644cb5a963948,Program:Winder_Ratio_Detector.__lff6644cb6adc479d,Program:Winder_Ratio_Detector.__lff6644cb6f52829f,Program:Winder_Ratio_Detector.__lff6644cb8d689d49,Program:Winder_Ratio_Detector.__lff6644cbb5ff5b04,Program:Winder_Ratio_Detector.__lff6644cbf90ef335
2019-04-12T10:47:22.557332,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:25.122479,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:47:27.676625,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:47:30.237772,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:32.756916,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:47:35.243058,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:37.795204,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:40.316348,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:42.758488,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:45.238630,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:47.718771,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:50.202913,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:47:52.682055,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:47:55.155197,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:47:57.637339,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:00.037476,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:02.558620,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:05.041762,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.306309700012207/
2019-04-12T10:48:07.557906,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:10.113052,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:12.554192,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:15.037334,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:17.597480,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:20.113624,/1.0, 300.0, 3.2229695320129395, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:22.555764,/1.0, 300.0, 3.3987674713134766, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:25.158913,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:27.676057,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:30.242204,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:32.676343,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:35.121483,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:37.719631,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:40.156771,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:42.677915,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:45.233061,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:47.754205,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:50.318352,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:48:52.759491,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:55.278636,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:48:57.714775,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:00.277922,/1.0, 300.0, 3.281568765640259, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:02.917072,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 9.867743492126465/
2019-04-12T10:49:05.398214,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
2019-04-12T10:49:08.041366,/1.0, 300.0, 3.3401682376861572, 10.0, 3000.0, 0.0, 2.0, 10.087026596069336/
