utc,Program:Winder_Ratio_Detector.PresetIncDecDelta,Program:Winder_Ratio_Detector.PresetIncDecRate_x3,Program:Winder_Ratio_Detector.PresetIncDecVal,Program:Winder_Ratio_Detector.PresetVal,Program:Winder_Ratio_Detector.SpeedMotor_RPM,Program:Winder_Ratio_Detector.Sy_ScanTime_Sec,Program:Winder_Ratio_Detector.W_BuildUpRatio,Program:Winder_Ratio_Detector.W_BuildUpRatioRec
2019-04-12T10:33:31.330789,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:33.811931,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:36.290072,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:38.811217,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:41.291359,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:43.811503,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:46.372649,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:48.894793,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:51.371935,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:53.971084,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:56.449225,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:33:58.972370,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:01.450512,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:03.933654,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:06.452798,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:08.887937,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:11.373079,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:13.893223,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:16.408367,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:18.929511,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:21.493658,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:24.010802,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:26.529946,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:28.931083,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:31.528232,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:34.047376,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:36.452514,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:38.847651,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:41.407797,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:43.926941,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:46.488088,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:49.008232,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:51.490374,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:54.046520,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:56.527662,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:34:59.086808,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:01.575951,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:04.051092,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:06.530234,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:09.132383,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:11.728531,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:14.212673,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:16.731817,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:19.212959,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:21.690101,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:24.291250,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:26.851396,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:29.410543,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:31.932687,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:34.451831,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:36.969975,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:39.529121,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:41.933259,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:44.448403,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:47.051552,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:49.614698,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:52.171844,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:54.689988,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:57.211133,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:35:59.732277,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:02.251421,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:04.805567,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:07.171702,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:09.647844,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:12.126986,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:14.729135,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:17.247279,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:19.845427,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:22.328569,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:24.890716,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:27.445862,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:30.007008,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:32.531153,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:35.048297,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:37.571441,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:39.927576,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:42.446720,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:44.933862,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:47.608015,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:50.206164,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:52.730308,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:55.247452,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:36:57.769596,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:00.289741,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:02.806885,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:05.211022,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:07.768168,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:10.290313,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:12.766454,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:15.250596,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:17.808743,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:20.408891,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:23.087044,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:25.648191,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:28.130333,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:30.645477,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:33.204623,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:35.689765,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:38.129905,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:40.686051,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:43.166193,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:45.769342,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:48.249484,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:50.732626,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:53.167765,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:55.608905,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:37:58.124048,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:00.607191,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:03.086332,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:05.563474,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:07.969612,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:10.446753,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:13.123906,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:15.650051,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:18.126193,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:20.608335,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:23.126479,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:25.764629,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:28.285774,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:30.651909,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:33.207055,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:35.647195,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:38.246343,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:40.768488,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:43.244629,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:45.726771,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:48.288918,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:50.966071,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:53.329206,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:55.928355,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:38:58.403496,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:01.046647,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:03.447785,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:06.047934,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:08.565077,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:11.128224,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:13.651368,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
2019-04-12T10:39:16.127510,/0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8333332538604736, 0.260869562625885/
