utc,Program:Slide_Table.ST_Hi_LIM,Program:Slide_Table.ST_Lo_LIM,Program:Unwind.__l188bd99400000f83,Program:Unwind.__l3476a1aa16ce4f90,Program:Unwind.__l3476a1aa57a32631,Program:Unwind.__l3476a1aa6f52829f,Program:Unwind.__l3476a1aac24a9706,Program:Unwind.__l3476a1aadd243ecc,Program:Unwind.__l3476a1aafcc730f7
2019-04-12T10:37:44.248255,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:46.846403,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:37:49.247541,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:51.764685,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:54.167822,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:56.684966,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:37:59.165108,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.648459434509277/
2019-04-12T10:38:01.729255,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:04.207396,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:06.684538,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:09.123678,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:11.684824,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:14.325975,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:16.845119,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:19.246257,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:21.772401,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:24.363549,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:26.963698,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:29.285831,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:31.763973,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:34.252115,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:36.766259,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:39.404410,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:41.844549,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:44.284689,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:46.844835,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:38:49.451984,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:51.965128,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:38:54.483272,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:57.043418,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:38:59.643567,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:39:02.086707,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:04.647853,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:07.204000,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:09.688142,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:12.283290,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:14.764432,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:39:17.242574,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:39:19.727716,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:22.327865,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:24.807006,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:39:27.244146,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:39:29.802292,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:39:32.247432,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:34.887583,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:37.367725,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.087026596069336/
2019-04-12T10:39:39.882869,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 10.306309700012207/
2019-04-12T10:39:42.331009,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
2019-04-12T10:39:44.967160,/7.75, 7.25, 0.0, 0.10000000149011612, 2.0, 1.0, 0.5, 0.5, 9.867743492126465/
