utc,Program:Unwind_Ratio_Detector.UW_DiamMeasInput,Program:Unwind_Ratio_Detector.UW_DiamMeasMax_DC,Program:Unwind_Ratio_Detector.UW_DiamMeasMax_in,Program:Unwind_Ratio_Detector.UW_DiamMeasMin_DC,Program:Unwind_Ratio_Detector.UW_DiamMeasMin_in,Program:Unwind_Ratio_Detector.UW_DiamMinEC_in,Program:Unwind_Ratio_Detector.UW_DiamRate_inRev,Program:Unwind_Ratio_Detector.UW_GearRatio
2019-04-12T10:36:07.526723,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:10.050867,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:12.528009,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:15.054153,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:17.611299,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:20.132444,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:22.685590,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:25.253737,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:27.805883,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:30.327027,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:32.851171,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:35.368315,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:37.891459,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:40.249594,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:42.766738,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:45.325885,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:47.926033,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:50.526182,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:53.085328,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:55.567470,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:36:58.171619,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:00.650761,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:03.124903,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:05.607045,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:08.086186,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:10.568328,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:13.087473,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:15.606617,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:18.127761,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:20.765912,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:23.406063,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:26.009212,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:28.490354,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:31.006497,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:33.489639,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:36.044786,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:38.489925,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:41.047072,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:43.530214,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:46.089360,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:48.526500,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:51.049644,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:53.485783,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:55.928923,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:37:58.448067,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:00.972211,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:03.449353,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:05.967497,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:08.404637,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:10.889779,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:13.484927,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:15.970069,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:18.444211,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:20.930353,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:23.492499,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:26.128650,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:28.606792,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:31.006929,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:33.526073,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:35.965213,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:38.642366,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:41.129508,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:43.563647,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:46.044789,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:48.685940,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:51.286089,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:53.726229,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:56.326377,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:38:58.850522,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:01.406668,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:03.807805,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:06.367952,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:08.884096,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:11.448242,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:13.968387,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:16.445528,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:18.885668,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:21.488817,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:24.005961,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:26.446100,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:29.003246,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:31.488389,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:34.087537,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:36.648684,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:39.083823,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:41.605967,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:44.206116,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:46.686258,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:49.170400,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:51.682544,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:54.206688,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:56.841839,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:39:59.286979,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:01.846125,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:04.482276,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:07.164429,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:09.682573,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:12.167715,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:14.645857,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:17.043994,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:19.602141,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:22.087283,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:24.566425,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:27.163573,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:29.681717,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:32.161859,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:34.602999,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:37.125143,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:39.685289,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:42.163431,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:44.600570,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:47.121715,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:49.721863,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:52.124001,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:54.641145,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:57.084284,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:40:59.681433,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:02.244580,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:04.683719,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:07.239865,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:09.761009,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:12.363158,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:14.804298,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:17.247438,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:19.766582,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:22.280726,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:24.884875,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:27.365016,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:29.849158,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:32.322300,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:34.763440,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:37.203579,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
2019-04-12T10:41:39.688721,/0.0, 2.0, 2.0, 1.0, 1.0, 300.0, 5.0, 1.0/
