utc,Program:Unwind.Uw_Pos_Step_Ref,Program:Unwind_Ratio_Detector.__l91ba878500000f83,Program:Unwind_Ratio_Detector.__l91ba878516ce4f90,Program:Unwind_Ratio_Detector.__l91ba8785208b6462,Program:Unwind_Ratio_Detector.__l91ba878559d862fe,Program:Unwind_Ratio_Detector.__l91ba87855a963948,Program:Unwind_Ratio_Detector.__l91ba8785d0c0ad05,Program:Unwind_Ratio_Detector.__l91ba8785f90ef335
2019-04-12T10:34:34.813420,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:37.252559,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:34:39.688699,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:42.247845,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:44.771989,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:47.330136,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:49.772275,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:52.408426,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:54.887568,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:57.372710,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:34:59.932857,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:02.373996,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:35:04.895140,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:07.491289,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:35:10.087437,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:35:12.611582,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:15.205730,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:17.612868,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:20.127012,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:35:22.492147,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:25.169300,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:35:27.729446,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:35:30.292593,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:32.809737,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:35.328881,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:35:37.815023,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:40.407172,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:42.807309,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:45.289451,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:47.928602,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:50.452746,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:52.971890,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:55.571039,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:35:58.052181,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:36:00.569325,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:03.127471,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:05.571611,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:08.046752,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:36:10.565897,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:13.050039,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:36:15.614185,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:36:18.210334,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:20.727478,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:36:23.251622,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:25.730764,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:36:28.290910,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:30.850057,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:36:33.408203,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:35.925347,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:38.367487,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.880279064178467/
2019-04-12T10:36:40.769624,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:43.245766,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:45.850915,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:48.411061,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.6402554512023926/
2019-04-12T10:36:51.009210,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:53.605358,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:56.048498,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:36:58.689649,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
2019-04-12T10:37:01.173791,/0.0, 30.0, 5.0, 300.0, 1.0, 2.0, 3000.0, 2.760267496109009/
