utc,Program:Winder_Ratio_Detector.W_CalcUpdate_Rev,Program:Winder_Ratio_Detector.W_Constant_RPMperFPM,Program:Winder_Ratio_Detector.W_DiamCalc_in,Program:Winder_Ratio_Detector.W_DiamFR_in,Program:Winder_Ratio_Detector.W_DiamMeas_in,Program:Winder_Ratio_Detector.W_DiamMeasInput,Program:Winder_Ratio_Detector.W_DiamMeasMax_DC,Program:Winder_Ratio_Detector.W_DiamMeasMax_in
2019-04-12T10:35:44.170387,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:46.806538,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:49.367684,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:51.892828,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:54.488977,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:57.009121,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:35:59.487263,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:02.050409,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:04.486549,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:06.930689,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:09.369828,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:11.888972,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:14.450119,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:16.968263,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:19.568411,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:22.050553,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:24.611700,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:27.210849,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:29.765995,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:32.290139,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:34.847285,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:37.329427,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:39.727564,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:42.169704,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:44.688848,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:47.327999,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:49.928148,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:52.446292,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:54.933434,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:36:57.533583,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:00.044727,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:02.530869,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:04.971008,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:07.491152,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:10.047299,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:12.488438,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:15.049585,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:17.530727,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:20.130875,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:22.809029,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:25.410177,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:27.884319,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:30.370461,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:32.928607,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:35.448752,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:37.924893,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:40.409035,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:42.890177,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:45.490326,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:47.972468,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:50.489612,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:52.892749,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:55.362891,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:37:57.845033,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:00.324174,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:02.805316,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:05.329461,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:07.729598,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:10.169737,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:12.845891,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:15.404037,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:17.890179,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:20.370321,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:22.924467,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:25.529616,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:28.043760,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:30.443897,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:32.929039,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:35.412181,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:38.046332,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:40.563476,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:43.043618,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:45.446755,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:48.048904,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:50.687055,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:53.046190,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:55.648339,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:38:58.126480,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:00.771632,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:03.242773,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:05.802920,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:08.323064,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:10.808206,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:13.407354,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:15.884496,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:18.365638,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:20.888782,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:23.365924,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:25.886068,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:28.404212,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:30.962359,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:33.488503,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:36.081651,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
2019-04-12T10:39:38.490789,/2.0, 0.01273233350366354, 1150.0, 3000.0, 0.0, 0.0, 2.0, 2.0/
